beginOffset,content,magnitude,score
0,初期不良で片耳聞こえなかった。,0.8,-0.8
45,性能面では特に問題なく、音質も普通、マイクもよく入ります。,0.7,0.7
132,見た目も悪くはないかなと思います。,0.7,0.7
183,しかし、耐久性に問題がありそうです。10か月ほど使って、ケーブルの断線でマイク付きのケーブルが使えなくなりました。,0.9,-0.9
350,どうしようかなと思っていたら、単品で売っていたのでそちらを購入。,0.0,0.0
446,また使えるようになったのでよかったよかったと思っていたら、翌々日にスピーカー接続部のヒンジが壊れて完全に使えなくなりました。,0.6,-0.6
632,特に何かしたわけではないのですが、気が付いたら取れてました。,0.0,0.0
722,モニターヘッドホンとか書いてありますが、そういう使い方はしないほうがいいと思います。,0.4,-0.4
848,安いけど、1年持たないのはちょっとと思います。,0.5,-0.5
915,複数のかたが書いておられたように、大人用としては小さめでそのぶん圧迫感もつよくなり、頭や耳がかなり痛いです。,0.6,-0.6
1077,長時間使用するにはやや忍耐が必要かもしれません。,0.3,-0.3
1149,音のことは詳しくわかりませんが、問題ありません。,0.3,0.3
1221,購入当日の感想です。,0.0,0.0
1251,マイクのonoffスイッチがあったので、テレワーク用に購入し、7ヶ月間使ってましたが、接続機器を変えても右側からしか音が出なくなりました。,0.7,-0.7
1446,使用頻度は1日2回位でした。,0.0,0.0
1484,商品の交換はしませんが、コードは写真上は黒。,0.4,-0.4
1550,届いたのはコードは赤色。,0.3,-0.3
1586,本体は黒。,0.3,-0.3
1601,アンバランスで同じものが欲しい。,0.6,-0.6
1649,ちんどん屋ではない。,0.5,-0.5
1679,取説のコード接続が雑。,0.9,-0.9
1712,ふざけています。,0.0,0.0
1736,価格の割に音質等はいいと思いますが、725に届き、810頃にマイクが使用できない相手に声が届かないので、交換をしてもらい、815に届きました。9月に入ってすぐ、ノイズ、反響が酷く使えない状態となりました。,0.6,-0.6
2022,保証期間が過ぎてしまいました。1ヶ月半で、2度も壊れるとは思いませんでした。,0.4,-0.4
2132,以前使っていたヘッドセットは1年以上使っていたので、使用方法に問題は無いかと思います。,0.1,-0.1
2259,とっても残念です。,0.9,-0.9
2286,マイクが約2ヶ月で壊れました。,0.8,-0.8
2329,音声は聞こえます。,0.0,0.0
2356,オススメしません。,0.9,-0.9
2383,頭の小ささがコンプレックスだった自分の頭でも小さく感じました。,0.9,-0.9
2476,頭が絞めつけられる感覚が強めです。,0.8,0.8
2527,製品は良い物でしょうけど、説明書の内容が少ない?,0.4,-0.4
